colour	x	y	key	showSelectedlegendsizecolour	PANEL
#000000	20.5	0.490233359258191	20.5	LOPART	2
#000000	21.5	0.362945664876002	21.5	LOPART	2
#000000	22.5	0.362444982162903	22.5	LOPART	2
#000000	23.5	0.237024054120877	23.5	LOPART	2
#000000	24.5	0.0768505604143235	24.5	LOPART	2
#000000	25.5	0	25.5	LOPART	2
#000000	26.5	0.196597074086324	26.5	LOPART	2
#000000	27.5	0.239765910305485	27.5	LOPART	2
#000000	28.5	0.32836491269613	28.5	LOPART	2
#000000	29.5	0.349229424319652	29.5	LOPART	2
#000000	30.5	0.708935610243413	30.5	LOPART	2
#000000	31.5	0.704504170927302	31.5	LOPART	2
#000000	32.5	0.69982478638177	32.5	LOPART	2
#000000	33.5	0.684760053271166	33.5	LOPART	2
#000000	34.5	0.683256515774257	34.5	LOPART	2
#000000	35.5	0.687404996163837	35.5	LOPART	2
#000000	36.5	0.688565245633773	36.5	LOPART	2
#000000	37.5	0.700970600355437	37.5	LOPART	2
#000000	38.5	0.703873809769434	38.5	LOPART	2
#000000	39.5	0.703895031672419	39.5	LOPART	2
#000000	40.5	0.69986856673087	40.5	LOPART	2
#000000	41.5	0.691113930290507	41.5	LOPART	2
