group	x	y
1	0.5	0
2	0.5	0
3	2.5	0
4	3.5	0
5	3.5	0
6	3.5	0
7	4.5	0
8	4.5	0
9	8.5	0
10	9.5	0
11	9.5	0
12	9.5	0
13	9.5	0
14	12.5	0
15	14.5	0
16	15.5	0
17	16.5	0
18	16.5	0
19	16.5	0
20	16.5	0
21	16.5	0.0653844539628022
22	16.5	0.253825467805638
23	16.5	0.23817419501305
24	16.5	0.28198605505429
25	16.5	0.274654933543748
26	19.5	0.797625878040987
27	19.5	0.788924271861527
28	19.5	0.773360203573529
29	19.5	0.751715544995244
30	25.5	0.121027040753556
31	25.5	0.124254917364875
32	25.5	0.118423908793053
33	30.5	0.113186644372641
34	30.5	0.107411908175098
35	33.5	0.0947525139329526
36	33.5	0.0874682502718857
37	36.5	0.0772927191717553
38	33.5	0.0720391931919084
39	33.5	0.0685995352061994
40	33.5	0.066375942429337
41	33.5	0.0640705717647021
42	41.5	0.0588194099903033
43	33.5	0.0566196751604506
44	43.5	0.0569424737047248
45	43.5	0.0567981871581
46	43.5	0.0568931227045536
47	43.5	0.0642473456410443
48	44.5	0.0663203616594601
49	44.5	0.0675167048218409
50	44.5	0.0723908634098784
51	44.5	0.0702252935294139
52	44.5	0.103664882183452
53	44.5	0.0983322348373152
54	44.5	0.108203936881779
55	51.5	0.0877885316236114
56	55.5	0.0881996698266725
57	56.5	0.0886683475083435
58	56.5	0.0886218672993176
59	57.5	0.0888318037554473
60	57.5	0.0883304630221799
61	60.5	0.0865150061387898
62	61.5	0.0859162799881216
63	62.5	0.085746962478865
64	62.5	0.0858621176084732
65	62.5	0.0860318273382529
66	62.5	0.0855518330460033
67	66.5	0.0835560894894748
68	65.5	0.0835573682156948
69	67.5	0.0836686953586048
70	67.5	0.0831486648860405
71	67.5	0.0825718660931717
72	67.5	0.0828151764087711
73	67.5	0.08273800382156
74	67.5	0.0829350830935508
75	67.5	0.0828825244591783
76	75.5	0.0767733052245277
77	76.5	0.0758159125759789
78	76.5	0.073906069228921
79	76.5	0.072477457171989
80	79.5	0.129173889079343
81	90.5	0.129035493397773
82	90.5	0.128636193453582
83	92.5	0.123997037678312
84	92.5	0.119096511541898
85	92.5	0.114335310068654
86	92.5	0.110526039416822
87	96.5	0.110672112081273
88	97.5	0.109306062578568
89	97.5	0.106692955613782
90	97.5	0.104518686548272
