xmin	xmax	key	clickSelects	showSelected1	PANEL	group
0	1	0	0	1	2	-1
0	1	0	0	2	2	-1
1	2	1	1	2	2	-1
0	1	0	0	3	2	-1
1	2	1	1	3	2	-1
2	3	2	2	3	2	-1
0	1	0	0	4	2	-1
1	2	1	1	4	2	-1
2	3	2	2	4	2	-1
3	4	3	3	4	2	-1
0	1	0	0	5	2	-1
1	2	1	1	5	2	-1
2	3	2	2	5	2	-1
3	4	3	3	5	2	-1
4	5	4	4	5	2	-1
0	1	0	0	6	2	-1
1	2	1	1	6	2	-1
2	3	2	2	6	2	-1
3	4	3	3	6	2	-1
4	5	4	4	6	2	-1
5	6	5	5	6	2	-1
0	1	0	0	7	2	-1
1	2	1	1	7	2	-1
2	3	2	2	7	2	-1
3	4	3	3	7	2	-1
4	5	4	4	7	2	-1
5	6	5	5	7	2	-1
6	7	6	6	7	2	-1
0	1	0	0	8	2	-1
1	2	1	1	8	2	-1
2	3	2	2	8	2	-1
3	4	3	3	8	2	-1
4	5	4	4	8	2	-1
5	6	5	5	8	2	-1
6	7	6	6	8	2	-1
7	8	7	7	8	2	-1
0	1	0	0	9	2	-1
1	2	1	1	9	2	-1
2	3	2	2	9	2	-1
3	4	3	3	9	2	-1
4	5	4	4	9	2	-1
5	6	5	5	9	2	-1
6	7	6	6	9	2	-1
7	8	7	7	9	2	-1
8	9	8	8	9	2	-1
0	1	0	0	10	2	-1
1	2	1	1	10	2	-1
2	3	2	2	10	2	-1
3	4	3	3	10	2	-1
4	5	4	4	10	2	-1
5	6	5	5	10	2	-1
6	7	6	6	10	2	-1
7	8	7	7	10	2	-1
8	9	8	8	10	2	-1
9	10	9	9	10	2	-1
0	1	0	0	11	2	-1
1	2	1	1	11	2	-1
2	3	2	2	11	2	-1
3	4	3	3	11	2	-1
4	5	4	4	11	2	-1
5	6	5	5	11	2	-1
6	7	6	6	11	2	-1
7	8	7	7	11	2	-1
8	9	8	8	11	2	-1
9	10	9	9	11	2	-1
10	11	10	10	11	2	-1
0	1	0	0	12	2	-1
1	2	1	1	12	2	-1
2	3	2	2	12	2	-1
3	4	3	3	12	2	-1
4	5	4	4	12	2	-1
5	6	5	5	12	2	-1
6	7	6	6	12	2	-1
7	8	7	7	12	2	-1
8	9	8	8	12	2	-1
9	10	9	9	12	2	-1
10	11	10	10	12	2	-1
11	12	11	11	12	2	-1
0	1	0	0	13	2	-1
1	2	1	1	13	2	-1
2	3	2	2	13	2	-1
3	4	3	3	13	2	-1
4	5	4	4	13	2	-1
5	6	5	5	13	2	-1
6	7	6	6	13	2	-1
7	8	7	7	13	2	-1
8	9	8	8	13	2	-1
9	10	9	9	13	2	-1
10	11	10	10	13	2	-1
11	12	11	11	13	2	-1
12	13	12	12	13	2	-1
0	1	0	0	14	2	-1
1	2	1	1	14	2	-1
2	3	2	2	14	2	-1
3	4	3	3	14	2	-1
4	5	4	4	14	2	-1
5	6	5	5	14	2	-1
6	7	6	6	14	2	-1
7	8	7	7	14	2	-1
8	9	8	8	14	2	-1
9	10	9	9	14	2	-1
10	11	10	10	14	2	-1
11	12	11	11	14	2	-1
12	13	12	12	14	2	-1
13	14	13	13	14	2	-1
0	1	0	0	15	2	-1
1	2	1	1	15	2	-1
2	3	2	2	15	2	-1
3	4	3	3	15	2	-1
4	5	4	4	15	2	-1
5	6	5	5	15	2	-1
6	7	6	6	15	2	-1
