x	y	key	showSelected2	PANEL	xmin	xmax	ymin	ymax	group
1	0	1 0	OPART	1	0.5	1.5	-0.5	0.5	1
2	0	2 0	OPART	1	1.5	2.5	-0.5	0.5	2
2	1	2 1	OPART	1	1.5	2.5	0.5	1.5	3
3	0	3 0	OPART	1	2.5	3.5	-0.5	0.5	4
3	1	3 1	OPART	1	2.5	3.5	0.5	1.5	5
3	2	3 2	OPART	1	2.5	3.5	1.5	2.5	6
4	0	4 0	OPART	1	3.5	4.5	-0.5	0.5	7
4	1	4 1	OPART	1	3.5	4.5	0.5	1.5	8
4	2	4 2	OPART	1	3.5	4.5	1.5	2.5	9
4	3	4 3	OPART	1	3.5	4.5	2.5	3.5	10
5	0	5 0	OPART	1	4.5	5.5	-0.5	0.5	11
5	1	5 1	OPART	1	4.5	5.5	0.5	1.5	12
5	2	5 2	OPART	1	4.5	5.5	1.5	2.5	13
5	3	5 3	OPART	1	4.5	5.5	2.5	3.5	14
5	4	5 4	OPART	1	4.5	5.5	3.5	4.5	15
6	0	6 0	OPART	1	5.5	6.5	-0.5	0.5	16
6	1	6 1	OPART	1	5.5	6.5	0.5	1.5	17
6	2	6 2	OPART	1	5.5	6.5	1.5	2.5	18
6	3	6 3	OPART	1	5.5	6.5	2.5	3.5	19
6	4	6 4	OPART	1	5.5	6.5	3.5	4.5	20
6	5	6 5	OPART	1	5.5	6.5	4.5	5.5	21
7	0	7 0	OPART	1	6.5	7.5	-0.5	0.5	22
7	1	7 1	OPART	1	6.5	7.5	0.5	1.5	23
7	2	7 2	OPART	1	6.5	7.5	1.5	2.5	24
7	3	7 3	OPART	1	6.5	7.5	2.5	3.5	25
7	4	7 4	OPART	1	6.5	7.5	3.5	4.5	26
7	5	7 5	OPART	1	6.5	7.5	4.5	5.5	27
7	6	7 6	OPART	1	6.5	7.5	5.5	6.5	28
8	0	8 0	OPART	1	7.5	8.5	-0.5	0.5	29
8	1	8 1	OPART	1	7.5	8.5	0.5	1.5	30
8	2	8 2	OPART	1	7.5	8.5	1.5	2.5	31
8	3	8 3	OPART	1	7.5	8.5	2.5	3.5	32
8	4	8 4	OPART	1	7.5	8.5	3.5	4.5	33
8	5	8 5	OPART	1	7.5	8.5	4.5	5.5	34
8	6	8 6	OPART	1	7.5	8.5	5.5	6.5	35
8	7	8 7	OPART	1	7.5	8.5	6.5	7.5	36
9	0	9 0	OPART	1	8.5	9.5	-0.5	0.5	37
9	1	9 1	OPART	1	8.5	9.5	0.5	1.5	38
9	2	9 2	OPART	1	8.5	9.5	1.5	2.5	39
9	3	9 3	OPART	1	8.5	9.5	2.5	3.5	40
9	4	9 4	OPART	1	8.5	9.5	3.5	4.5	41
9	5	9 5	OPART	1	8.5	9.5	4.5	5.5	42
9	6	9 6	OPART	1	8.5	9.5	5.5	6.5	43
9	7	9 7	OPART	1	8.5	9.5	6.5	7.5	44
9	8	9 8	OPART	1	8.5	9.5	7.5	8.5	45
10	0	10 0	OPART	1	9.5	10.5	-0.5	0.5	46
10	1	10 1	OPART	1	9.5	10.5	0.5	1.5	47
10	2	10 2	OPART	1	9.5	10.5	1.5	2.5	48
10	3	10 3	OPART	1	9.5	10.5	2.5	3.5	49
10	4	10 4	OPART	1	9.5	10.5	3.5	4.5	50
10	5	10 5	OPART	1	9.5	10.5	4.5	5.5	51
10	6	10 6	OPART	1	9.5	10.5	5.5	6.5	52
10	7	10 7	OPART	1	9.5	10.5	6.5	7.5	53
10	8	10 8	OPART	1	9.5	10.5	7.5	8.5	54
10	9	10 9	OPART	1	9.5	10.5	8.5	9.5	55
11	0	11 0	OPART	1	10.5	11.5	-0.5	0.5	56
11	1	11 1	OPART	1	10.5	11.5	0.5	1.5	57
11	2	11 2	OPART	1	10.5	11.5	1.5	2.5	58
11	3	11 3	OPART	1	10.5	11.5	2.5	3.5	59
11	4	11 4	OPART	1	10.5	11.5	3.5	4.5	60
11	5	11 5	OPART	1	10.5	11.5	4.5	5.5	61
11	6	11 6	OPART	1	10.5	11.5	5.5	6.5	62
11	7	11 7	OPART	1	10.5	11.5	6.5	7.5	63
11	8	11 8	OPART	1	10.5	11.5	7.5	8.5	64
11	9	11 9	OPART	1	10.5	11.5	8.5	9.5	65
11	10	11 10	OPART	1	10.5	11.5	9.5	10.5	66
12	0	12 0	OPART	1	11.5	12.5	-0.5	0.5	67
12	1	12 1	OPART	1	11.5	12.5	0.5	1.5	68
12	2	12 2	OPART	1	11.5	12.5	1.5	2.5	69
12	3	12 3	OPART	1	11.5	12.5	2.5	3.5	70
12	4	12 4	OPART	1	11.5	12.5	3.5	4.5	71
12	5	12 5	OPART	1	11.5	12.5	4.5	5.5	72
12	6	12 6	OPART	1	11.5	12.5	5.5	6.5	73
12	7	12 7	OPART	1	11.5	12.5	6.5	7.5	74
12	8	12 8	OPART	1	11.5	12.5	7.5	8.5	75
12	9	12 9	OPART	1	11.5	12.5	8.5	9.5	76
12	10	12 10	OPART	1	11.5	12.5	9.5	10.5	77
12	11	12 11	OPART	1	11.5	12.5	10.5	11.5	78
13	0	13 0	OPART	1	12.5	13.5	-0.5	0.5	79
13	1	13 1	OPART	1	12.5	13.5	0.5	1.5	80
13	2	13 2	OPART	1	12.5	13.5	1.5	2.5	81
13	3	13 3	OPART	1	12.5	13.5	2.5	3.5	82
13	4	13 4	OPART	1	12.5	13.5	3.5	4.5	83
13	5	13 5	OPART	1	12.5	13.5	4.5	5.5	84
13	6	13 6	OPART	1	12.5	13.5	5.5	6.5	85
13	7	13 7	OPART	1	12.5	13.5	6.5	7.5	86
13	8	13 8	OPART	1	12.5	13.5	7.5	8.5	87
13	9	13 9	OPART	1	12.5	13.5	8.5	9.5	88
13	10	13 10	OPART	1	12.5	13.5	9.5	10.5	89
13	11	13 11	OPART	1	12.5	13.5	10.5	11.5	90
13	12	13 12	OPART	1	12.5	13.5	11.5	12.5	91
14	0	14 0	OPART	1	13.5	14.5	-0.5	0.5	92
14	1	14 1	OPART	1	13.5	14.5	0.5	1.5	93
14	2	14 2	OPART	1	13.5	14.5	1.5	2.5	94
14	3	14 3	OPART	1	13.5	14.5	2.5	3.5	95
14	4	14 4	OPART	1	13.5	14.5	3.5	4.5	96
14	5	14 5	OPART	1	13.5	14.5	4.5	5.5	97
14	6	14 6	OPART	1	13.5	14.5	5.5	6.5	98
14	7	14 7	OPART	1	13.5	14.5	6.5	7.5	99
14	8	14 8	OPART	1	13.5	14.5	7.5	8.5	100
14	9	14 9	OPART	1	13.5	14.5	8.5	9.5	101
14	10	14 10	OPART	1	13.5	14.5	9.5	10.5	102
14	11	14 11	OPART	1	13.5	14.5	10.5	11.5	103
14	12	14 12	OPART	1	13.5	14.5	11.5	12.5	104
14	13	14 13	OPART	1	13.5	14.5	12.5	13.5	105
15	0	15 0	OPART	1	14.5	15.5	-0.5	0.5	106
15	1	15 1	OPART	1	14.5	15.5	0.5	1.5	107
15	2	15 2	OPART	1	14.5	15.5	1.5	2.5	108
15	3	15 3	OPART	1	14.5	15.5	2.5	3.5	109
15	4	15 4	OPART	1	14.5	15.5	3.5	4.5	110
15	5	15 5	OPART	1	14.5	15.5	4.5	5.5	111
15	6	15 6	OPART	1	14.5	15.5	5.5	6.5	112
15	7	15 7	OPART	1	14.5	15.5	6.5	7.5	113
15	8	15 8	OPART	1	14.5	15.5	7.5	8.5	114
15	9	15 9	OPART	1	14.5	15.5	8.5	9.5	115
15	10	15 10	OPART	1	14.5	15.5	9.5	10.5	116
15	11	15 11	OPART	1	14.5	15.5	10.5	11.5	117
15	12	15 12	OPART	1	14.5	15.5	11.5	12.5	118
15	13	15 13	OPART	1	14.5	15.5	12.5	13.5	119
