xmin	xmax	clickSelects	PANEL	group
0.5	1.5	1	1	-1
1.5	2.5	2	1	-1
2.5	3.5	3	1	-1
3.5	4.5	4	1	-1
4.5	5.5	5	1	-1
5.5	6.5	6	1	-1
6.5	7.5	7	1	-1
7.5	8.5	8	1	-1
8.5	9.5	9	1	-1
9.5	10.5	10	1	-1
10.5	11.5	11	1	-1
11.5	12.5	12	1	-1
12.5	13.5	13	1	-1
13.5	14.5	14	1	-1
14.5	15.5	15	1	-1
15.5	16.5	16	1	-1
16.5	17.5	17	1	-1
17.5	18.5	18	1	-1
18.5	19.5	19	1	-1
19.5	20.5	20	1	-1
20.5	21.5	21	1	-1
21.5	22.5	22	1	-1
22.5	23.5	23	1	-1
23.5	24.5	24	1	-1
24.5	25.5	25	1	-1
25.5	26.5	26	1	-1
26.5	27.5	27	1	-1
27.5	28.5	28	1	-1
28.5	29.5	29	1	-1
29.5	30.5	30	1	-1
30.5	31.5	31	1	-1
31.5	32.5	32	1	-1
32.5	33.5	33	1	-1
33.5	34.5	34	1	-1
34.5	35.5	35	1	-1
35.5	36.5	36	1	-1
36.5	37.5	37	1	-1
37.5	38.5	38	1	-1
38.5	39.5	39	1	-1
39.5	40.5	40	1	-1
40.5	41.5	41	1	-1
41.5	42.5	42	1	-1
42.5	43.5	43	1	-1
43.5	44.5	44	1	-1
44.5	45.5	45	1	-1
45.5	46.5	46	1	-1
46.5	47.5	47	1	-1
47.5	48.5	48	1	-1
48.5	49.5	49	1	-1
49.5	50.5	50	1	-1
50.5	51.5	51	1	-1
51.5	52.5	52	1	-1
52.5	53.5	53	1	-1
53.5	54.5	54	1	-1
54.5	55.5	55	1	-1
55.5	56.5	56	1	-1
56.5	57.5	57	1	-1
57.5	58.5	58	1	-1
58.5	59.5	59	1	-1
59.5	60.5	60	1	-1
60.5	61.5	61	1	-1
61.5	62.5	62	1	-1
62.5	63.5	63	1	-1
63.5	64.5	64	1	-1
64.5	65.5	65	1	-1
65.5	66.5	66	1	-1
66.5	67.5	67	1	-1
67.5	68.5	68	1	-1
68.5	69.5	69	1	-1
69.5	70.5	70	1	-1
70.5	71.5	71	1	-1
71.5	72.5	72	1	-1
72.5	73.5	73	1	-1
73.5	74.5	74	1	-1
74.5	75.5	75	1	-1
75.5	76.5	76	1	-1
76.5	77.5	77	1	-1
77.5	78.5	78	1	-1
78.5	79.5	79	1	-1
79.5	80.5	80	1	-1
80.5	81.5	81	1	-1
81.5	82.5	82	1	-1
82.5	83.5	83	1	-1
83.5	84.5	84	1	-1
84.5	85.5	85	1	-1
85.5	86.5	86	1	-1
86.5	87.5	87	1	-1
87.5	88.5	88	1	-1
88.5	89.5	89	1	-1
89.5	90.5	90	1	-1
90.5	91.5	91	1	-1
91.5	92.5	92	1	-1
92.5	93.5	93	1	-1
93.5	94.5	94	1	-1
94.5	95.5	95	1	-1
95.5	96.5	96	1	-1
96.5	97.5	97	1	-1
97.5	98.5	98	1	-1
98.5	99.5	99	1	-1
99.5	100.5	100	1	-1
0.5	1.5	1	2	-1
1.5	2.5	2	2	-1
2.5	3.5	3	2	-1
3.5	4.5	4	2	-1
4.5	5.5	5	2	-1
5.5	6.5	6	2	-1
6.5	7.5	7	2	-1
7.5	8.5	8	2	-1
8.5	9.5	9	2	-1
9.5	10.5	10	2	-1
10.5	11.5	11	2	-1
11.5	12.5	12	2	-1
12.5	13.5	13	2	-1
13.5	14.5	14	2	-1
14.5	15.5	15	2	-1
15.5	16.5	16	2	-1
16.5	17.5	17	2	-1
17.5	18.5	18	2	-1
18.5	19.5	19	2	-1
19.5	20.5	20	2	-1
20.5	21.5	21	2	-1
21.5	22.5	22	2	-1
22.5	23.5	23	2	-1
23.5	24.5	24	2	-1
24.5	25.5	25	2	-1
25.5	26.5	26	2	-1
26.5	27.5	27	2	-1
27.5	28.5	28	2	-1
28.5	29.5	29	2	-1
29.5	30.5	30	2	-1
30.5	31.5	31	2	-1
31.5	32.5	32	2	-1
32.5	33.5	33	2	-1
33.5	34.5	34	2	-1
34.5	35.5	35	2	-1
35.5	36.5	36	2	-1
36.5	37.5	37	2	-1
37.5	38.5	38	2	-1
38.5	39.5	39	2	-1
39.5	40.5	40	2	-1
40.5	41.5	41	2	-1
41.5	42.5	42	2	-1
42.5	43.5	43	2	-1
43.5	44.5	44	2	-1
44.5	45.5	45	2	-1
45.5	46.5	46	2	-1
46.5	47.5	47	2	-1
47.5	48.5	48	2	-1
48.5	49.5	49	2	-1
49.5	50.5	50	2	-1
50.5	51.5	51	2	-1
51.5	52.5	52	2	-1
52.5	53.5	53	2	-1
53.5	54.5	54	2	-1
54.5	55.5	55	2	-1
55.5	56.5	56	2	-1
56.5	57.5	57	2	-1
57.5	58.5	58	2	-1
58.5	59.5	59	2	-1
59.5	60.5	60	2	-1
60.5	61.5	61	2	-1
61.5	62.5	62	2	-1
62.5	63.5	63	2	-1
63.5	64.5	64	2	-1
64.5	65.5	65	2	-1
65.5	66.5	66	2	-1
66.5	67.5	67	2	-1
67.5	68.5	68	2	-1
68.5	69.5	69	2	-1
69.5	70.5	70	2	-1
70.5	71.5	71	2	-1
71.5	72.5	72	2	-1
72.5	73.5	73	2	-1
73.5	74.5	74	2	-1
74.5	75.5	75	2	-1
