group	fill
1	#FF0000
2	#FF0000
3	#E5E5E5
4	#E5E5E5
5	#FF6443
6	#FF0000
7	#FABDAD
8	#F8C2B4
9	#E5E5E5
10	#FF0000
11	#FEAF9B
12	#FBBAA9
13	#E5E5E5
14	#FF0000
15	#FF5737
16	#FFA891
17	#FDB19E
18	#E5E5E5
19	#FF0000
20	#FF2B14
21	#FF7555
22	#FCB6A4
23	#FFAD98
24	#E5E5E5
25	#FF6342
26	#FF0000
27	#FF5C3C
28	#FF7454
29	#FFAC96
30	#FEAD98
31	#E5E5E5
32	#FF4B2D
33	#FF0000
34	#FF6949
35	#FF9175
36	#FF8E71
37	#E7E2E1
38	#F3CDC2
39	#E5E5E5
40	#F4CABF
41	#FF9074
42	#FF977C
43	#FF977D
44	#FFAB95
45	#FF0000
46	#ECDAD5
47	#F7C5B8
48	#E5E5E5
49	#FBBAA9
50	#FF7D5D
51	#FF8F73
52	#FF9C82
53	#FDB4A1
54	#FF876A
55	#FF0000
56	#EBDBD7
57	#F7C3B6
58	#E5E5E5
59	#FBBBAA
60	#FF7656
61	#FF8A6C
62	#FF997E
63	#FDB19D
64	#FF8D70
65	#FF0000
66	#FF6F4F
67	#E5E5E5
68	#F8C3B5
69	#E5E4E4
70	#F7C4B7
71	#FF6B4B
72	#FF7B5C
73	#FF8769
74	#FFA38B
75	#FF7151
76	#FF0000
77	#FF5838
78	#FF5737
79	#EBDBD7
80	#F8C3B5
81	#E5E5E5
82	#FABBAA
83	#FF7656
84	#FF8C6F
85	#FF9D84
86	#FDB4A1
87	#FF9D83
88	#FF0000
89	#FF6E4E
90	#FF7959
91	#FF5334
92	#F0D3CC
93	#F4CCC1
94	#E5E5E5
95	#FBB9A8
96	#FF997F
97	#FEAE99
98	#FABDAD
99	#F6C7BA
100	#F7C4B6
101	#FF492A
102	#FF8263
103	#FF7E5E
104	#FF0000
105	#FF3319
106	#E8E1DF
107	#F0D3CB
108	#E5E5E5
109	#F2D0C7
110	#FFAB96
111	#FCB6A4
112	#F9C0B1
113	#F4CBC0
114	#F8C1B2
115	#FF8C6F
116	#FFA892
117	#FEAD98
118	#FFAA94
119	#FEAE99
120	#FF0000
121	#EADDD9
122	#EBDCD8
123	#E5E5E5
124	#F0D3CB
125	#F4CBC0
126	#F0D2CB
127	#EDD8D2
128	#ECDAD5
129	#ECDAD5
130	#FEAE9A
131	#F9BEAF
132	#FABCAB
133	#FFA891
134	#FEAF9B
135	#FCB4A2
136	#FF0000
137	#EADEDB
138	#EBDCD8
139	#E5E5E5
140	#EFD4CD
141	#F5CABE
142	#F1D1C9
143	#EED7D1
144	#ECDAD5
145	#EDD9D4
146	#FDB19E
147	#F8C2B3
148	#F8C1B3
149	#FCB5A3
150	#FABDAD
151	#FBB8A7
152	#FF8162
153	#FF0000
154	#EADDDA
155	#EBDBD7
156	#E5E5E5
157	#F0D3CC
158	#F5C9BD
159	#F1D1C8
160	#EED6D0
161	#EDD9D4
162	#EDD9D4
163	#FEAF9B
164	#F9C0B1
165	#F9C0B1
166	#FDB4A1
167	#FABCAB
168	#FCB6A4
169	#FF8466
170	#FF0000
171	#FF2F17
172	#E9DFDD
173	#EBDCD8
174	#E5E5E5
175	#EED6D0
176	#F5CABF
177	#F1D1C8
178	#EED6D0
179	#ECDAD5
180	#EDD9D3
181	#FCB6A3
182	#F7C5B8
183	#F6C6B9
184	#F9C0B1
185	#F7C5B8
186	#FBB9A8
187	#FF9A80
188	#FF0000
189	#FF371D
190	#FF331A
191	#E9E0DE
192	#EBDCD8
193	#E5E5E5
194	#EED7D1
195	#F5CABF
196	#F1D1C8
197	#EED6D0
198	#ECDAD5
199	#EDD8D3
200	#FCB7A5
201	#F7C5B9
202	#F6C7BB
203	#F8C2B4
204	#F6C7BA
205	#FBB9A8
206	#FF9E84
207	#FF0000
208	#FF361C
209	#FF381D
210	#FF391E
211	#E6E4E3
212	#EADEDA
213	#E5E5E5
214	#EADDDA
215	#F3CEC5
216	#F0D3CB
217	#EED7D0
218	#ECDBD6
219	#EED8D2
220	#F8C3B5
221	#F3CDC3
222	#F2CFC6
223	#F2CFC6
224	#F2CFC6
225	#FABBAA
226	#FEB19D
227	#FF2E16
228	#FF482A
229	#FF391E
230	#FF3D21
231	#FF0000
