x	y	key	clickSelects	showSelected2	showSelected3	PANEL	xmin	xmax	ymin	ymax	group
1	0	0	0	1	OPART	1	0.5	1.5	-0.5	0.5	1
2	0	0	0	2	OPART	1	1.5	2.5	-0.5	0.5	2
2	1	1	1	2	OPART	1	1.5	2.5	0.5	1.5	3
3	0	0	0	3	OPART	1	2.5	3.5	-0.5	0.5	4
3	1	1	1	3	OPART	1	2.5	3.5	0.5	1.5	5
3	2	2	2	3	OPART	1	2.5	3.5	1.5	2.5	6
4	0	0	0	4	OPART	1	3.5	4.5	-0.5	0.5	7
4	1	1	1	4	OPART	1	3.5	4.5	0.5	1.5	8
4	2	2	2	4	OPART	1	3.5	4.5	1.5	2.5	9
4	3	3	3	4	OPART	1	3.5	4.5	2.5	3.5	10
5	0	0	0	5	OPART	1	4.5	5.5	-0.5	0.5	11
5	1	1	1	5	OPART	1	4.5	5.5	0.5	1.5	12
5	2	2	2	5	OPART	1	4.5	5.5	1.5	2.5	13
5	3	3	3	5	OPART	1	4.5	5.5	2.5	3.5	14
5	4	4	4	5	OPART	1	4.5	5.5	3.5	4.5	15
6	0	0	0	6	OPART	1	5.5	6.5	-0.5	0.5	16
6	1	1	1	6	OPART	1	5.5	6.5	0.5	1.5	17
6	2	2	2	6	OPART	1	5.5	6.5	1.5	2.5	18
6	3	3	3	6	OPART	1	5.5	6.5	2.5	3.5	19
6	4	4	4	6	OPART	1	5.5	6.5	3.5	4.5	20
6	5	5	5	6	OPART	1	5.5	6.5	4.5	5.5	21
7	0	0	0	7	OPART	1	6.5	7.5	-0.5	0.5	22
7	1	1	1	7	OPART	1	6.5	7.5	0.5	1.5	23
7	2	2	2	7	OPART	1	6.5	7.5	1.5	2.5	24
7	3	3	3	7	OPART	1	6.5	7.5	2.5	3.5	25
7	4	4	4	7	OPART	1	6.5	7.5	3.5	4.5	26
7	5	5	5	7	OPART	1	6.5	7.5	4.5	5.5	27
7	6	6	6	7	OPART	1	6.5	7.5	5.5	6.5	28
8	0	0	0	8	OPART	1	7.5	8.5	-0.5	0.5	29
8	1	1	1	8	OPART	1	7.5	8.5	0.5	1.5	30
8	2	2	2	8	OPART	1	7.5	8.5	1.5	2.5	31
8	3	3	3	8	OPART	1	7.5	8.5	2.5	3.5	32
8	4	4	4	8	OPART	1	7.5	8.5	3.5	4.5	33
8	5	5	5	8	OPART	1	7.5	8.5	4.5	5.5	34
8	6	6	6	8	OPART	1	7.5	8.5	5.5	6.5	35
8	7	7	7	8	OPART	1	7.5	8.5	6.5	7.5	36
9	0	0	0	9	OPART	1	8.5	9.5	-0.5	0.5	37
9	1	1	1	9	OPART	1	8.5	9.5	0.5	1.5	38
9	2	2	2	9	OPART	1	8.5	9.5	1.5	2.5	39
9	3	3	3	9	OPART	1	8.5	9.5	2.5	3.5	40
9	4	4	4	9	OPART	1	8.5	9.5	3.5	4.5	41
9	5	5	5	9	OPART	1	8.5	9.5	4.5	5.5	42
9	6	6	6	9	OPART	1	8.5	9.5	5.5	6.5	43
9	7	7	7	9	OPART	1	8.5	9.5	6.5	7.5	44
9	8	8	8	9	OPART	1	8.5	9.5	7.5	8.5	45
10	0	0	0	10	OPART	1	9.5	10.5	-0.5	0.5	46
10	1	1	1	10	OPART	1	9.5	10.5	0.5	1.5	47
10	2	2	2	10	OPART	1	9.5	10.5	1.5	2.5	48
10	3	3	3	10	OPART	1	9.5	10.5	2.5	3.5	49
10	4	4	4	10	OPART	1	9.5	10.5	3.5	4.5	50
10	5	5	5	10	OPART	1	9.5	10.5	4.5	5.5	51
10	6	6	6	10	OPART	1	9.5	10.5	5.5	6.5	52
10	7	7	7	10	OPART	1	9.5	10.5	6.5	7.5	53
10	8	8	8	10	OPART	1	9.5	10.5	7.5	8.5	54
10	9	9	9	10	OPART	1	9.5	10.5	8.5	9.5	55
11	0	0	0	11	OPART	1	10.5	11.5	-0.5	0.5	56
11	1	1	1	11	OPART	1	10.5	11.5	0.5	1.5	57
11	2	2	2	11	OPART	1	10.5	11.5	1.5	2.5	58
11	3	3	3	11	OPART	1	10.5	11.5	2.5	3.5	59
11	4	4	4	11	OPART	1	10.5	11.5	3.5	4.5	60
11	5	5	5	11	OPART	1	10.5	11.5	4.5	5.5	61
11	6	6	6	11	OPART	1	10.5	11.5	5.5	6.5	62
11	7	7	7	11	OPART	1	10.5	11.5	6.5	7.5	63
11	8	8	8	11	OPART	1	10.5	11.5	7.5	8.5	64
11	9	9	9	11	OPART	1	10.5	11.5	8.5	9.5	65
11	10	10	10	11	OPART	1	10.5	11.5	9.5	10.5	66
12	0	0	0	12	OPART	1	11.5	12.5	-0.5	0.5	67
12	1	1	1	12	OPART	1	11.5	12.5	0.5	1.5	68
12	2	2	2	12	OPART	1	11.5	12.5	1.5	2.5	69
12	3	3	3	12	OPART	1	11.5	12.5	2.5	3.5	70
12	4	4	4	12	OPART	1	11.5	12.5	3.5	4.5	71
12	5	5	5	12	OPART	1	11.5	12.5	4.5	5.5	72
12	6	6	6	12	OPART	1	11.5	12.5	5.5	6.5	73
12	7	7	7	12	OPART	1	11.5	12.5	6.5	7.5	74
12	8	8	8	12	OPART	1	11.5	12.5	7.5	8.5	75
12	9	9	9	12	OPART	1	11.5	12.5	8.5	9.5	76
12	10	10	10	12	OPART	1	11.5	12.5	9.5	10.5	77
12	11	11	11	12	OPART	1	11.5	12.5	10.5	11.5	78
13	0	0	0	13	OPART	1	12.5	13.5	-0.5	0.5	79
13	1	1	1	13	OPART	1	12.5	13.5	0.5	1.5	80
13	2	2	2	13	OPART	1	12.5	13.5	1.5	2.5	81
13	3	3	3	13	OPART	1	12.5	13.5	2.5	3.5	82
13	4	4	4	13	OPART	1	12.5	13.5	3.5	4.5	83
13	5	5	5	13	OPART	1	12.5	13.5	4.5	5.5	84
13	6	6	6	13	OPART	1	12.5	13.5	5.5	6.5	85
13	7	7	7	13	OPART	1	12.5	13.5	6.5	7.5	86
13	8	8	8	13	OPART	1	12.5	13.5	7.5	8.5	87
13	9	9	9	13	OPART	1	12.5	13.5	8.5	9.5	88
13	10	10	10	13	OPART	1	12.5	13.5	9.5	10.5	89
13	11	11	11	13	OPART	1	12.5	13.5	10.5	11.5	90
13	12	12	12	13	OPART	1	12.5	13.5	11.5	12.5	91
14	0	0	0	14	OPART	1	13.5	14.5	-0.5	0.5	92
14	1	1	1	14	OPART	1	13.5	14.5	0.5	1.5	93
14	2	2	2	14	OPART	1	13.5	14.5	1.5	2.5	94
14	3	3	3	14	OPART	1	13.5	14.5	2.5	3.5	95
14	4	4	4	14	OPART	1	13.5	14.5	3.5	4.5	96
14	5	5	5	14	OPART	1	13.5	14.5	4.5	5.5	97
14	6	6	6	14	OPART	1	13.5	14.5	5.5	6.5	98
14	7	7	7	14	OPART	1	13.5	14.5	6.5	7.5	99
14	8	8	8	14	OPART	1	13.5	14.5	7.5	8.5	100
14	9	9	9	14	OPART	1	13.5	14.5	8.5	9.5	101
14	10	10	10	14	OPART	1	13.5	14.5	9.5	10.5	102
14	11	11	11	14	OPART	1	13.5	14.5	10.5	11.5	103
14	12	12	12	14	OPART	1	13.5	14.5	11.5	12.5	104
14	13	13	13	14	OPART	1	13.5	14.5	12.5	13.5	105
15	0	0	0	15	OPART	1	14.5	15.5	-0.5	0.5	106
15	1	1	1	15	OPART	1	14.5	15.5	0.5	1.5	107
15	2	2	2	15	OPART	1	14.5	15.5	1.5	2.5	108
15	3	3	3	15	OPART	1	14.5	15.5	2.5	3.5	109
15	4	4	4	15	OPART	1	14.5	15.5	3.5	4.5	110
15	5	5	5	15	OPART	1	14.5	15.5	4.5	5.5	111
15	6	6	6	15	OPART	1	14.5	15.5	5.5	6.5	112
15	7	7	7	15	OPART	1	14.5	15.5	6.5	7.5	113
15	8	8	8	15	OPART	1	14.5	15.5	7.5	8.5	114
15	9	9	9	15	OPART	1	14.5	15.5	8.5	9.5	115
15	10	10	10	15	OPART	1	14.5	15.5	9.5	10.5	116
15	11	11	11	15	OPART	1	14.5	15.5	10.5	11.5	117
15	12	12	12	15	OPART	1	14.5	15.5	11.5	12.5	118
15	13	13	13	15	OPART	1	14.5	15.5	12.5	13.5	119
15	14	14	14	15	OPART	1	14.5	15.5	13.5	14.5	120
16	0	0	0	16	OPART	1	15.5	16.5	-0.5	0.5	121
16	1	1	1	16	OPART	1	15.5	16.5	0.5	1.5	122
16	2	2	2	16	OPART	1	15.5	16.5	1.5	2.5	123
16	3	3	3	16	OPART	1	15.5	16.5	2.5	3.5	124
16	4	4	4	16	OPART	1	15.5	16.5	3.5	4.5	125
16	5	5	5	16	OPART	1	15.5	16.5	4.5	5.5	126
16	6	6	6	16	OPART	1	15.5	16.5	5.5	6.5	127
16	7	7	7	16	OPART	1	15.5	16.5	6.5	7.5	128
16	8	8	8	16	OPART	1	15.5	16.5	7.5	8.5	129
16	9	9	9	16	OPART	1	15.5	16.5	8.5	9.5	130
16	10	10	10	16	OPART	1	15.5	16.5	9.5	10.5	131
16	11	11	11	16	OPART	1	15.5	16.5	10.5	11.5	132
16	12	12	12	16	OPART	1	15.5	16.5	11.5	12.5	133
16	13	13	13	16	OPART	1	15.5	16.5	12.5	13.5	134
16	14	14	14	16	OPART	1	15.5	16.5	13.5	14.5	135
16	15	15	15	16	OPART	1	15.5	16.5	14.5	15.5	136
17	0	0	0	17	OPART	1	16.5	17.5	-0.5	0.5	137
17	1	1	1	17	OPART	1	16.5	17.5	0.5	1.5	138
17	2	2	2	17	OPART	1	16.5	17.5	1.5	2.5	139
17	3	3	3	17	OPART	1	16.5	17.5	2.5	3.5	140
17	4	4	4	17	OPART	1	16.5	17.5	3.5	4.5	141
17	5	5	5	17	OPART	1	16.5	17.5	4.5	5.5	142
17	6	6	6	17	OPART	1	16.5	17.5	5.5	6.5	143
17	7	7	7	17	OPART	1	16.5	17.5	6.5	7.5	144
17	8	8	8	17	OPART	1	16.5	17.5	7.5	8.5	145
17	9	9	9	17	OPART	1	16.5	17.5	8.5	9.5	146
17	10	10	10	17	OPART	1	16.5	17.5	9.5	10.5	147
17	11	11	11	17	OPART	1	16.5	17.5	10.5	11.5	148
17	12	12	12	17	OPART	1	16.5	17.5	11.5	12.5	149
17	13	13	13	17	OPART	1	16.5	17.5	12.5	13.5	150
17	14	14	14	17	OPART	1	16.5	17.5	13.5	14.5	151
17	15	15	15	17	OPART	1	16.5	17.5	14.5	15.5	152
17	16	16	16	17	OPART	1	16.5	17.5	15.5	16.5	153
18	0	0	0	18	OPART	1	17.5	18.5	-0.5	0.5	154
18	1	1	1	18	OPART	1	17.5	18.5	0.5	1.5	155
18	2	2	2	18	OPART	1	17.5	18.5	1.5	2.5	156
18	3	3	3	18	OPART	1	17.5	18.5	2.5	3.5	157
18	4	4	4	18	OPART	1	17.5	18.5	3.5	4.5	158
18	5	5	5	18	OPART	1	17.5	18.5	4.5	5.5	159
18	6	6	6	18	OPART	1	17.5	18.5	5.5	6.5	160
18	7	7	7	18	OPART	1	17.5	18.5	6.5	7.5	161
18	8	8	8	18	OPART	1	17.5	18.5	7.5	8.5	162
18	9	9	9	18	OPART	1	17.5	18.5	8.5	9.5	163
18	10	10	10	18	OPART	1	17.5	18.5	9.5	10.5	164
18	11	11	11	18	OPART	1	17.5	18.5	10.5	11.5	165
18	12	12	12	18	OPART	1	17.5	18.5	11.5	12.5	166
18	13	13	13	18	OPART	1	17.5	18.5	12.5	13.5	167
18	14	14	14	18	OPART	1	17.5	18.5	13.5	14.5	168
18	15	15	15	18	OPART	1	17.5	18.5	14.5	15.5	169
18	16	16	16	18	OPART	1	17.5	18.5	15.5	16.5	170
18	17	17	17	18	OPART	1	17.5	18.5	16.5	17.5	171
19	0	0	0	19	OPART	1	18.5	19.5	-0.5	0.5	172
19	1	1	1	19	OPART	1	18.5	19.5	0.5	1.5	173
19	2	2	2	19	OPART	1	18.5	19.5	1.5	2.5	174
19	3	3	3	19	OPART	1	18.5	19.5	2.5	3.5	175
19	4	4	4	19	OPART	1	18.5	19.5	3.5	4.5	176
19	5	5	5	19	OPART	1	18.5	19.5	4.5	5.5	177
19	6	6	6	19	OPART	1	18.5	19.5	5.5	6.5	178
19	7	7	7	19	OPART	1	18.5	19.5	6.5	7.5	179
19	8	8	8	19	OPART	1	18.5	19.5	7.5	8.5	180
19	9	9	9	19	OPART	1	18.5	19.5	8.5	9.5	181
19	10	10	10	19	OPART	1	18.5	19.5	9.5	10.5	182
19	11	11	11	19	OPART	1	18.5	19.5	10.5	11.5	183
19	12	12	12	19	OPART	1	18.5	19.5	11.5	12.5	184
19	13	13	13	19	OPART	1	18.5	19.5	12.5	13.5	185
19	14	14	14	19	OPART	1	18.5	19.5	13.5	14.5	186
19	15	15	15	19	OPART	1	18.5	19.5	14.5	15.5	187
19	16	16	16	19	OPART	1	18.5	19.5	15.5	16.5	188
19	17	17	17	19	OPART	1	18.5	19.5	16.5	17.5	189
19	18	18	18	19	OPART	1	18.5	19.5	17.5	18.5	190
20	0	0	0	20	OPART	1	19.5	20.5	-0.5	0.5	191
20	1	1	1	20	OPART	1	19.5	20.5	0.5	1.5	192
20	2	2	2	20	OPART	1	19.5	20.5	1.5	2.5	193
20	3	3	3	20	OPART	1	19.5	20.5	2.5	3.5	194
20	4	4	4	20	OPART	1	19.5	20.5	3.5	4.5	195
20	5	5	5	20	OPART	1	19.5	20.5	4.5	5.5	196
20	6	6	6	20	OPART	1	19.5	20.5	5.5	6.5	197
20	7	7	7	20	OPART	1	19.5	20.5	6.5	7.5	198
20	8	8	8	20	OPART	1	19.5	20.5	7.5	8.5	199
20	9	9	9	20	OPART	1	19.5	20.5	8.5	9.5	200
20	10	10	10	20	OPART	1	19.5	20.5	9.5	10.5	201
20	11	11	11	20	OPART	1	19.5	20.5	10.5	11.5	202
20	12	12	12	20	OPART	1	19.5	20.5	11.5	12.5	203
20	13	13	13	20	OPART	1	19.5	20.5	12.5	13.5	204
20	14	14	14	20	OPART	1	19.5	20.5	13.5	14.5	205
20	15	15	15	20	OPART	1	19.5	20.5	14.5	15.5	206
20	16	16	16	20	OPART	1	19.5	20.5	15.5	16.5	207
20	17	17	17	20	OPART	1	19.5	20.5	16.5	17.5	208
20	18	18	18	20	OPART	1	19.5	20.5	17.5	18.5	209
20	19	19	19	20	OPART	1	19.5	20.5	18.5	19.5	210
21	0	0	0	21	OPART	1	20.5	21.5	-0.5	0.5	211
21	1	1	1	21	OPART	1	20.5	21.5	0.5	1.5	212
21	2	2	2	21	OPART	1	20.5	21.5	1.5	2.5	213
21	3	3	3	21	OPART	1	20.5	21.5	2.5	3.5	214
