x	y	key	showSelected2	showSelected3	showSelected4	PANEL
1	0	1	1	0	OPART	1
2	0	1	2	0	OPART	1
2	1	1	2	1	OPART	1
3	0	1	3	0	OPART	1
3	1	1	3	1	OPART	1
3	2	1	3	2	OPART	1
4	0	1	4	0	OPART	1
4	1	1	4	1	OPART	1
4	2	1	4	2	OPART	1
4	3	1	4	3	OPART	1
5	0	1	5	0	OPART	1
5	1	1	5	1	OPART	1
5	2	1	5	2	OPART	1
5	3	1	5	3	OPART	1
5	4	1	5	4	OPART	1
6	0	1	6	0	OPART	1
6	1	1	6	1	OPART	1
6	2	1	6	2	OPART	1
6	3	1	6	3	OPART	1
6	4	1	6	4	OPART	1
6	5	1	6	5	OPART	1
7	0	1	7	0	OPART	1
7	1	1	7	1	OPART	1
7	2	1	7	2	OPART	1
7	3	1	7	3	OPART	1
7	4	1	7	4	OPART	1
7	5	1	7	5	OPART	1
7	6	1	7	6	OPART	1
8	0	1	8	0	OPART	1
8	1	1	8	1	OPART	1
8	2	1	8	2	OPART	1
8	3	1	8	3	OPART	1
8	4	1	8	4	OPART	1
8	5	1	8	5	OPART	1
8	6	1	8	6	OPART	1
8	7	1	8	7	OPART	1
9	0	1	9	0	OPART	1
9	1	1	9	1	OPART	1
9	2	1	9	2	OPART	1
9	3	1	9	3	OPART	1
9	4	1	9	4	OPART	1
9	5	1	9	5	OPART	1
9	6	1	9	6	OPART	1
9	7	1	9	7	OPART	1
9	8	1	9	8	OPART	1
10	0	1	10	0	OPART	1
10	1	1	10	1	OPART	1
10	2	1	10	2	OPART	1
10	3	1	10	3	OPART	1
10	4	1	10	4	OPART	1
10	5	1	10	5	OPART	1
10	6	1	10	6	OPART	1
10	7	1	10	7	OPART	1
10	8	1	10	8	OPART	1
10	9	1	10	9	OPART	1
11	0	1	11	0	OPART	1
11	1	1	11	1	OPART	1
11	2	1	11	2	OPART	1
11	3	1	11	3	OPART	1
11	4	1	11	4	OPART	1
11	5	1	11	5	OPART	1
11	6	1	11	6	OPART	1
11	7	1	11	7	OPART	1
11	8	1	11	8	OPART	1
11	9	1	11	9	OPART	1
11	10	1	11	10	OPART	1
12	0	1	12	0	OPART	1
12	1	1	12	1	OPART	1
12	2	1	12	2	OPART	1
12	3	1	12	3	OPART	1
12	4	1	12	4	OPART	1
12	5	1	12	5	OPART	1
12	6	1	12	6	OPART	1
12	7	1	12	7	OPART	1
12	8	1	12	8	OPART	1
12	9	1	12	9	OPART	1
