xintercept	key	showSelected1	showSelected2	PANEL
0.5	0	1	0	1
0.5	0	2	0	1
1.5	1	2	1	1
0.5	0	3	0	1
1.5	1	3	1	1
2.5	2	3	2	1
0.5	0	4	0	1
1.5	1	4	1	1
2.5	2	4	2	1
3.5	3	4	3	1
0.5	0	5	0	1
1.5	1	5	1	1
2.5	2	5	2	1
3.5	3	5	3	1
4.5	4	5	4	1
0.5	0	6	0	1
1.5	1	6	1	1
2.5	2	6	2	1
3.5	3	6	3	1
4.5	4	6	4	1
5.5	5	6	5	1
0.5	0	7	0	1
1.5	1	7	1	1
2.5	2	7	2	1
3.5	3	7	3	1
4.5	4	7	4	1
5.5	5	7	5	1
6.5	6	7	6	1
0.5	0	8	0	1
1.5	1	8	1	1
2.5	2	8	2	1
3.5	3	8	3	1
4.5	4	8	4	1
5.5	5	8	5	1
6.5	6	8	6	1
7.5	7	8	7	1
0.5	0	9	0	1
1.5	1	9	1	1
2.5	2	9	2	1
3.5	3	9	3	1
4.5	4	9	4	1
5.5	5	9	5	1
6.5	6	9	6	1
7.5	7	9	7	1
8.5	8	9	8	1
0.5	0	10	0	1
1.5	1	10	1	1
2.5	2	10	2	1
3.5	3	10	3	1
4.5	4	10	4	1
5.5	5	10	5	1
6.5	6	10	6	1
7.5	7	10	7	1
8.5	8	10	8	1
9.5	9	10	9	1
0.5	0	11	0	1
1.5	1	11	1	1
2.5	2	11	2	1
3.5	3	11	3	1
4.5	4	11	4	1
5.5	5	11	5	1
6.5	6	11	6	1
7.5	7	11	7	1
8.5	8	11	8	1
9.5	9	11	9	1
10.5	10	11	10	1
0.5	0	12	0	1
1.5	1	12	1	1
2.5	2	12	2	1
3.5	3	12	3	1
4.5	4	12	4	1
5.5	5	12	5	1
6.5	6	12	6	1
7.5	7	12	7	1
8.5	8	12	8	1
9.5	9	12	9	1
10.5	10	12	10	1
11.5	11	12	11	1
0.5	0	13	0	1
1.5	1	13	1	1
2.5	2	13	2	1
3.5	3	13	3	1
4.5	4	13	4	1
5.5	5	13	5	1
6.5	6	13	6	1
7.5	7	13	7	1
8.5	8	13	8	1
9.5	9	13	9	1
10.5	10	13	10	1
11.5	11	13	11	1
12.5	12	13	12	1
0.5	0	14	0	1
1.5	1	14	1	1
2.5	2	14	2	1
3.5	3	14	3	1
4.5	4	14	4	1
5.5	5	14	5	1
6.5	6	14	6	1
7.5	7	14	7	1
8.5	8	14	8	1
9.5	9	14	9	1
10.5	10	14	10	1
11.5	11	14	11	1
12.5	12	14	12	1
13.5	13	14	13	1
0.5	0	15	0	1
1.5	1	15	1	1
2.5	2	15	2	1
3.5	3	15	3	1
4.5	4	15	4	1
5.5	5	15	5	1
6.5	6	15	6	1
7.5	7	15	7	1
8.5	8	15	8	1
9.5	9	15	9	1
10.5	10	15	10	1
11.5	11	15	11	1
12.5	12	15	12	1
13.5	13	15	13	1
14.5	14	15	14	1
0.5	0	16	0	1
1.5	1	16	1	1
2.5	2	16	2	1
3.5	3	16	3	1
4.5	4	16	4	1
5.5	5	16	5	1
6.5	6	16	6	1
7.5	7	16	7	1
8.5	8	16	8	1
9.5	9	16	9	1
10.5	10	16	10	1
11.5	11	16	11	1
12.5	12	16	12	1
13.5	13	16	13	1
14.5	14	16	14	1
15.5	15	16	15	1
0.5	0	17	0	1
1.5	1	17	1	1
2.5	2	17	2	1
3.5	3	17	3	1
4.5	4	17	4	1
5.5	5	17	5	1
6.5	6	17	6	1
7.5	7	17	7	1
8.5	8	17	8	1
9.5	9	17	9	1
10.5	10	17	10	1
11.5	11	17	11	1
12.5	12	17	12	1
13.5	13	17	13	1
14.5	14	17	14	1
15.5	15	17	15	1
16.5	16	17	16	1
0.5	0	18	0	1
1.5	1	18	1	1
2.5	2	18	2	1
3.5	3	18	3	1
4.5	4	18	4	1
5.5	5	18	5	1
6.5	6	18	6	1
7.5	7	18	7	1
8.5	8	18	8	1
9.5	9	18	9	1
10.5	10	18	10	1
11.5	11	18	11	1
12.5	12	18	12	1
13.5	13	18	13	1
14.5	14	18	14	1
15.5	15	18	15	1
16.5	16	18	16	1
17.5	17	18	17	1
0.5	0	19	0	1
1.5	1	19	1	1
2.5	2	19	2	1
3.5	3	19	3	1
4.5	4	19	4	1
5.5	5	19	5	1
6.5	6	19	6	1
7.5	7	19	7	1
8.5	8	19	8	1
9.5	9	19	9	1
