x	y	key	label	showSelected1	showSelected2	PANEL	group	anchor
0.5	1	0	tau=0	1	0	1	-1	start
0.5	1	0	tau=0	2	0	1	-1	start
1.5	1	1	tau=1	2	1	1	-1	start
0.5	1	0	tau=0	3	0	1	-1	start
1.5	1	1	tau=1	3	1	1	-1	start
2.5	1	2	tau=2	3	2	1	-1	start
0.5	1	0	tau=0	4	0	1	-1	start
1.5	1	1	tau=1	4	1	1	-1	start
2.5	1	2	tau=2	4	2	1	-1	start
3.5	1	3	tau=3	4	3	1	-1	start
0.5	1	0	tau=0	5	0	1	-1	start
1.5	1	1	tau=1	5	1	1	-1	start
2.5	1	2	tau=2	5	2	1	-1	start
3.5	1	3	tau=3	5	3	1	-1	start
4.5	1	4	tau=4	5	4	1	-1	start
0.5	1	0	tau=0	6	0	1	-1	start
1.5	1	1	tau=1	6	1	1	-1	start
2.5	1	2	tau=2	6	2	1	-1	start
3.5	1	3	tau=3	6	3	1	-1	start
4.5	1	4	tau=4	6	4	1	-1	start
5.5	1	5	tau=5	6	5	1	-1	start
0.5	1	0	tau=0	7	0	1	-1	start
1.5	1	1	tau=1	7	1	1	-1	start
2.5	1	2	tau=2	7	2	1	-1	start
3.5	1	3	tau=3	7	3	1	-1	start
4.5	1	4	tau=4	7	4	1	-1	start
5.5	1	5	tau=5	7	5	1	-1	start
6.5	1	6	tau=6	7	6	1	-1	start
0.5	1	0	tau=0	8	0	1	-1	start
1.5	1	1	tau=1	8	1	1	-1	start
2.5	1	2	tau=2	8	2	1	-1	start
3.5	1	3	tau=3	8	3	1	-1	start
4.5	1	4	tau=4	8	4	1	-1	start
5.5	1	5	tau=5	8	5	1	-1	start
6.5	1	6	tau=6	8	6	1	-1	start
7.5	1	7	tau=7	8	7	1	-1	start
0.5	1	0	tau=0	9	0	1	-1	start
1.5	1	1	tau=1	9	1	1	-1	start
2.5	1	2	tau=2	9	2	1	-1	start
3.5	1	3	tau=3	9	3	1	-1	start
4.5	1	4	tau=4	9	4	1	-1	start
5.5	1	5	tau=5	9	5	1	-1	start
6.5	1	6	tau=6	9	6	1	-1	start
7.5	1	7	tau=7	9	7	1	-1	start
8.5	1	8	tau=8	9	8	1	-1	start
0.5	1	0	tau=0	10	0	1	-1	start
1.5	1	1	tau=1	10	1	1	-1	start
2.5	1	2	tau=2	10	2	1	-1	start
3.5	1	3	tau=3	10	3	1	-1	start
4.5	1	4	tau=4	10	4	1	-1	start
5.5	1	5	tau=5	10	5	1	-1	start
6.5	1	6	tau=6	10	6	1	-1	start
7.5	1	7	tau=7	10	7	1	-1	start
8.5	1	8	tau=8	10	8	1	-1	start
9.5	1	9	tau=9	10	9	1	-1	start
0.5	1	0	tau=0	11	0	1	-1	start
1.5	1	1	tau=1	11	1	1	-1	start
2.5	1	2	tau=2	11	2	1	-1	start
3.5	1	3	tau=3	11	3	1	-1	start
4.5	1	4	tau=4	11	4	1	-1	start
5.5	1	5	tau=5	11	5	1	-1	start
6.5	1	6	tau=6	11	6	1	-1	start
7.5	1	7	tau=7	11	7	1	-1	start
8.5	1	8	tau=8	11	8	1	-1	start
9.5	1	9	tau=9	11	9	1	-1	start
10.5	1	10	tau=10	11	10	1	-1	start
0.5	1	0	tau=0	12	0	1	-1	start
1.5	1	1	tau=1	12	1	1	-1	start
2.5	1	2	tau=2	12	2	1	-1	start
3.5	1	3	tau=3	12	3	1	-1	start
4.5	1	4	tau=4	12	4	1	-1	start
5.5	1	5	tau=5	12	5	1	-1	start
6.5	1	6	tau=6	12	6	1	-1	start
7.5	1	7	tau=7	12	7	1	-1	start
8.5	1	8	tau=8	12	8	1	-1	start
9.5	1	9	tau=9	12	9	1	-1	start
10.5	1	10	tau=10	12	10	1	-1	start
11.5	1	11	tau=11	12	11	1	-1	start
0.5	1	0	tau=0	13	0	1	-1	start
1.5	1	1	tau=1	13	1	1	-1	start
2.5	1	2	tau=2	13	2	1	-1	start
3.5	1	3	tau=3	13	3	1	-1	start
4.5	1	4	tau=4	13	4	1	-1	start
5.5	1	5	tau=5	13	5	1	-1	start
6.5	1	6	tau=6	13	6	1	-1	start
7.5	1	7	tau=7	13	7	1	-1	start
8.5	1	8	tau=8	13	8	1	-1	start
9.5	1	9	tau=9	13	9	1	-1	start
10.5	1	10	tau=10	13	10	1	-1	start
11.5	1	11	tau=11	13	11	1	-1	start
12.5	1	12	tau=12	13	12	1	-1	start
0.5	1	0	tau=0	14	0	1	-1	start
1.5	1	1	tau=1	14	1	1	-1	start
2.5	1	2	tau=2	14	2	1	-1	start
3.5	1	3	tau=3	14	3	1	-1	start
4.5	1	4	tau=4	14	4	1	-1	start
5.5	1	5	tau=5	14	5	1	-1	start
6.5	1	6	tau=6	14	6	1	-1	start
7.5	1	7	tau=7	14	7	1	-1	start
8.5	1	8	tau=8	14	8	1	-1	start
9.5	1	9	tau=9	14	9	1	-1	start
10.5	1	10	tau=10	14	10	1	-1	start
11.5	1	11	tau=11	14	11	1	-1	start
12.5	1	12	tau=12	14	12	1	-1	start
13.5	1	13	tau=13	14	13	1	-1	start
0.5	1	0	tau=0	15	0	1	-1	start
1.5	1	1	tau=1	15	1	1	-1	start
2.5	1	2	tau=2	15	2	1	-1	start
3.5	1	3	tau=3	15	3	1	-1	start
4.5	1	4	tau=4	15	4	1	-1	start
5.5	1	5	tau=5	15	5	1	-1	start
6.5	1	6	tau=6	15	6	1	-1	start
7.5	1	7	tau=7	15	7	1	-1	start
8.5	1	8	tau=8	15	8	1	-1	start
9.5	1	9	tau=9	15	9	1	-1	start
10.5	1	10	tau=10	15	10	1	-1	start
11.5	1	11	tau=11	15	11	1	-1	start
12.5	1	12	tau=12	15	12	1	-1	start
13.5	1	13	tau=13	15	13	1	-1	start
14.5	1	14	tau=14	15	14	1	-1	start
0.5	1	0	tau=0	16	0	1	-1	start
1.5	1	1	tau=1	16	1	1	-1	start
2.5	1	2	tau=2	16	2	1	-1	start
3.5	1	3	tau=3	16	3	1	-1	start
4.5	1	4	tau=4	16	4	1	-1	start
5.5	1	5	tau=5	16	5	1	-1	start
6.5	1	6	tau=6	16	6	1	-1	start
7.5	1	7	tau=7	16	7	1	-1	start
8.5	1	8	tau=8	16	8	1	-1	start
9.5	1	9	tau=9	16	9	1	-1	start
10.5	1	10	tau=10	16	10	1	-1	start
11.5	1	11	tau=11	16	11	1	-1	start
12.5	1	12	tau=12	16	12	1	-1	start
13.5	1	13	tau=13	16	13	1	-1	start
14.5	1	14	tau=14	16	14	1	-1	start
15.5	1	15	tau=15	16	15	1	-1	start
0.5	1	0	tau=0	17	0	1	-1	start
1.5	1	1	tau=1	17	1	1	-1	start
2.5	1	2	tau=2	17	2	1	-1	start
3.5	1	3	tau=3	17	3	1	-1	start
4.5	1	4	tau=4	17	4	1	-1	start
5.5	1	5	tau=5	17	5	1	-1	start
6.5	1	6	tau=6	17	6	1	-1	start
7.5	1	7	tau=7	17	7	1	-1	start
8.5	1	8	tau=8	17	8	1	-1	start
9.5	1	9	tau=9	17	9	1	-1	start
10.5	1	10	tau=10	17	10	1	-1	start
11.5	1	11	tau=11	17	11	1	-1	start
12.5	1	12	tau=12	17	12	1	-1	start
13.5	1	13	tau=13	17	13	1	-1	start
14.5	1	14	tau=14	17	14	1	-1	start
